event_id,equipment_id,ts,event_type,subtype,severity,value,details
EV_E0120_1748428980000000000,E0120,2025-05-28T16:13:00+05:30,MAINTENANCE,FILTER_REPLACE,,3573.4,Reactive fix
EV_E0120_1753179660000000000,E0120,2025-07-22T15:51:00+05:30,ANOMALY,FUEL_SPIKE,LOW,35.1,Fuel usage unusually high vs baseline
EV_E0120_1747550220000000000,E0120,2025-05-18T12:07:00+05:30,ANOMALY,FUEL_SPIKE,LOW,19.6,Fuel usage unusually high vs baseline
EV_E0120_1748267220000000000,E0120,2025-05-26T19:17:00+05:30,ANOMALY,FUEL_SPIKE,LOW,19.2,Fuel usage unusually high vs baseline
EV_E0120_1747312740000000000,E0120,2025-05-15T18:09:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,23.7,Fuel usage unusually high vs baseline
EV_E0120_1751101980000000000,E0120,2025-06-28T14:43:00+05:30,ANOMALY,EXCESS_IDLE,HIGH,2.4,Idle hours spike beyond threshold
EV_E0120_1747971240000000000,E0120,2025-05-23T09:04:00+05:30,ANOMALY,FUEL_SPIKE,LOW,29.5,Fuel usage unusually high vs baseline
EV_E0120_1753970580000000000,E0120,2025-07-31T19:33:00+05:30,ANOMALY,FUEL_SPIKE,LOW,29.6,Fuel usage unusually high vs baseline
EV_E0120_1747458300000000000,E0120,2025-05-17T10:35:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.0,Idle hours spike beyond threshold
EV_E0029_1753445160000000000,E0029,2025-07-25T17:36:00+05:30,FUEL,REFUEL,,7.2,Auto-logged fuel transaction
EV_E0029_1746099000000000000,E0029,2025-05-01T17:00:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0029_1747989360000000000,E0029,2025-05-23T14:06:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0029_1749196080000000000,E0029,2025-06-06T13:18:00+05:30,MAINTENANCE,PREVENTIVE,,2845.1,Scheduled PM
EV_E0029_1746936420000000000,E0029,2025-05-11T09:37:00+05:30,ANOMALY,RAPID_DRAIN,LOW,7.6,Possible leak or theft detected
EV_E0029_1753194300000000000,E0029,2025-07-22T19:55:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,6.3,GPS drift beyond geofence
EV_E0029_1749809640000000000,E0029,2025-06-13T15:44:00+05:30,ANOMALY,GPS_DRIFT,LOW,10.2,GPS drift beyond geofence
EV_E0029_1751621460000000000,E0029,2025-07-04T15:01:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,9.4,GPS drift beyond geofence
EV_E0029_1746328920000000000,E0029,2025-05-04T08:52:00+05:30,ANOMALY,RAPID_DRAIN,HIGH,15.4,Possible leak or theft detected
EV_E0029_1747788240000000000,E0029,2025-05-21T06:14:00+05:30,ANOMALY,FUEL_SPIKE,LOW,20.8,Fuel usage unusually high vs baseline
EV_E0029_1747408140000000000,E0029,2025-05-16T20:39:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,4.8,Idle hours spike beyond threshold
EV_E0029_1751935740000000000,E0029,2025-07-08T06:19:00+05:30,ANOMALY,RAPID_DRAIN,MEDIUM,11.0,Possible leak or theft detected
EV_E0029_1748489940000000000,E0029,2025-05-29T09:09:00+05:30,ANOMALY,FUEL_SPIKE,LOW,19.1,Fuel usage unusually high vs baseline
EV_E0140_1753780620000000000,E0140,2025-07-29T14:47:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0140_1752220440000000000,E0140,2025-07-11T13:24:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0140_1751162760000000000,E0140,2025-06-29T07:36:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0140_1746441660000000000,E0140,2025-05-05T16:11:00+05:30,MAINTENANCE,PREVENTIVE,,2479.77,Scheduled PM
EV_E0140_1750648620000000000,E0140,2025-06-23T08:47:00+05:30,ANOMALY,FUEL_SPIKE,LOW,27.2,Fuel usage unusually high vs baseline
EV_E0140_1746697860000000000,E0140,2025-05-08T15:21:00+05:30,ANOMALY,RAPID_DRAIN,LOW,16.1,Possible leak or theft detected
EV_E0140_1747649760000000000,E0140,2025-05-19T15:46:00+05:30,ANOMALY,FUEL_SPIKE,LOW,25.3,Fuel usage unusually high vs baseline
EV_E0140_1748237220000000000,E0140,2025-05-26T10:57:00+05:30,ANOMALY,EXCESS_IDLE,LOW,5.5,Idle hours spike beyond threshold
EV_E0140_1746202680000000000,E0140,2025-05-02T21:48:00+05:30,ANOMALY,GPS_DRIFT,LOW,5.9,GPS drift beyond geofence
EV_E0140_1749307500000000000,E0140,2025-06-07T20:15:00+05:30,ANOMALY,RAPID_DRAIN,MEDIUM,10.9,Possible leak or theft detected
EV_E0140_1747719900000000000,E0140,2025-05-20T11:15:00+05:30,ANOMALY,RAPID_DRAIN,MEDIUM,13.0,Possible leak or theft detected
EV_E0012_1751016900000000000,E0012,2025-06-27T15:05:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0012_1752057180000000000,E0012,2025-07-09T16:03:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0012_1751959260000000000,E0012,2025-07-08T12:51:00+05:30,FUEL,LOW_FUEL,,17.9,Low fuel threshold crossed
EV_E0012_1752649800000000000,E0012,2025-07-16T12:40:00+05:30,MAINTENANCE,OIL_CHANGE,,3023.28,Reactive fix
EV_E0012_1750344720000000000,E0012,2025-06-19T20:22:00+05:30,ANOMALY,FUEL_SPIKE,LOW,23.3,Fuel usage unusually high vs baseline
EV_E0012_1749026040000000000,E0012,2025-06-04T14:04:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,8.5,GPS drift beyond geofence
EV_E0012_1746805440000000000,E0012,2025-05-09T21:14:00+05:30,ANOMALY,FUEL_SPIKE,LOW,33.6,Fuel usage unusually high vs baseline
EV_E0012_1752381840000000000,E0012,2025-07-13T10:14:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,3.1,Idle hours spike beyond threshold
EV_E0012_1747409580000000000,E0012,2025-05-16T21:03:00+05:30,ANOMALY,FUEL_SPIKE,LOW,15.2,Fuel usage unusually high vs baseline
EV_E0033_1746940740000000000,E0033,2025-05-11T10:49:00+05:30,FUEL,LOW_FUEL,,22.1,Low fuel threshold crossed
EV_E0033_1751187660000000000,E0033,2025-06-29T14:31:00+05:30,FUEL,LOW_FUEL,,13.2,Low fuel threshold crossed
EV_E0033_1751001120000000000,E0033,2025-06-27T10:42:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0033_1747811100000000000,E0033,2025-05-21T12:35:00+05:30,MAINTENANCE,OIL_CHANGE,,2602.28,Reactive fix
EV_E0033_1753436940000000000,E0033,2025-07-25T15:19:00+05:30,ANOMALY,FUEL_SPIKE,LOW,28.2,Fuel usage unusually high vs baseline
EV_E0033_1746105000000000000,E0033,2025-05-01T18:40:00+05:30,ANOMALY,EXCESS_IDLE,LOW,2.9,Idle hours spike beyond threshold
EV_E0033_1752979680000000000,E0033,2025-07-20T08:18:00+05:30,ANOMALY,RAPID_DRAIN,MEDIUM,10.4,Possible leak or theft detected
EV_E0033_1752889860000000000,E0033,2025-07-19T07:21:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,16.7,Fuel usage unusually high vs baseline
EV_E0046_1747889340000000000,E0046,2025-05-22T10:19:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0046_1749260820000000000,E0046,2025-06-07T07:17:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0046_1750254360000000000,E0046,2025-06-18T19:16:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0046_1748758200000000000,E0046,2025-06-01T11:40:00+05:30,MAINTENANCE,PREVENTIVE,,3095.19,Scheduled PM
EV_E0046_1750898640000000000,E0046,2025-06-26T06:14:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,30.0,Fuel usage unusually high vs baseline
EV_E0046_1751710080000000000,E0046,2025-07-05T15:38:00+05:30,ANOMALY,FUEL_SPIKE,LOW,16.7,Fuel usage unusually high vs baseline
EV_E0046_1746637500000000000,E0046,2025-05-07T22:35:00+05:30,ANOMALY,RAPID_DRAIN,LOW,7.7,Possible leak or theft detected
EV_E0105_1751001120000000000,E0105,2025-06-27T10:42:00+05:30,FUEL,LOW_FUEL,,12.2,Low fuel threshold crossed
EV_E0105_1750081620000000000,E0105,2025-06-16T19:17:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0105_1748696400000000000,E0105,2025-05-31T18:30:00+05:30,FUEL,REFUEL,,10.2,Auto-logged fuel transaction
EV_E0105_1753351200000000000,E0105,2025-07-24T15:30:00+05:30,MAINTENANCE,OIL_CHANGE,,2628.83,Reactive fix
EV_E0105_1747219080000000000,E0105,2025-05-14T16:08:00+05:30,ANOMALY,GPS_DRIFT,LOW,8.5,GPS drift beyond geofence
EV_E0105_1750909380000000000,E0105,2025-06-26T09:13:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,21.8,Fuel usage unusually high vs baseline
EV_E0105_1753622640000000000,E0105,2025-07-27T18:54:00+05:30,ANOMALY,EXCESS_IDLE,LOW,2.9,Idle hours spike beyond threshold
EV_E0105_1753145160000000000,E0105,2025-07-22T06:16:00+05:30,ANOMALY,RAPID_DRAIN,HIGH,9.1,Possible leak or theft detected
EV_E0105_1747012140000000000,E0105,2025-05-12T06:39:00+05:30,ANOMALY,RAPID_DRAIN,MEDIUM,9.0,Possible leak or theft detected
EV_E0078_1751446680000000000,E0078,2025-07-02T14:28:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0078_1751337780000000000,E0078,2025-07-01T08:13:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0078_1751715720000000000,E0078,2025-07-05T17:12:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0078_1752643620000000000,E0078,2025-07-16T10:57:00+05:30,MAINTENANCE,OIL_CHANGE,,3448.08,Reactive fix
EV_E0078_1749824340000000000,E0078,2025-06-13T19:49:00+05:30,ANOMALY,FUEL_SPIKE,LOW,25.8,Fuel usage unusually high vs baseline
EV_E0078_1748419260000000000,E0078,2025-05-28T13:31:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,1.3,Idle hours spike beyond threshold
EV_E0078_1752557760000000000,E0078,2025-07-15T11:06:00+05:30,ANOMALY,RAPID_DRAIN,LOW,15.3,Possible leak or theft detected
EV_E0078_1752411660000000000,E0078,2025-07-13T18:31:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,5.1,Idle hours spike beyond threshold
EV_E0078_1752335640000000000,E0078,2025-07-12T21:24:00+05:30,ANOMALY,GPS_DRIFT,LOW,8.1,GPS drift beyond geofence
EV_E0078_1747019280000000000,E0078,2025-05-12T08:38:00+05:30,ANOMALY,GPS_DRIFT,LOW,9.8,GPS drift beyond geofence
EV_E0078_1746896460000000000,E0078,2025-05-10T22:31:00+05:30,ANOMALY,FUEL_SPIKE,LOW,30.2,Fuel usage unusually high vs baseline
EV_E0078_1748775360000000000,E0078,2025-06-01T16:26:00+05:30,ANOMALY,FUEL_SPIKE,LOW,26.4,Fuel usage unusually high vs baseline
EV_E0078_1746168120000000000,E0078,2025-05-02T12:12:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.0,Idle hours spike beyond threshold
EV_E0099_1749089400000000000,E0099,2025-06-05T07:40:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0099_1752716040000000000,E0099,2025-07-17T07:04:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0099_1747715640000000000,E0099,2025-05-20T10:04:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0099_1752301380000000000,E0099,2025-07-12T11:53:00+05:30,MAINTENANCE,OIL_CHANGE,,2809.11,Reactive fix
EV_E0099_1753089840000000000,E0099,2025-07-21T14:54:00+05:30,ANOMALY,FUEL_SPIKE,LOW,21.2,Fuel usage unusually high vs baseline
EV_E0099_1748247720000000000,E0099,2025-05-26T13:52:00+05:30,ANOMALY,RAPID_DRAIN,LOW,8.5,Possible leak or theft detected
EV_E0099_1746243960000000000,E0099,2025-05-03T09:16:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.7,Idle hours spike beyond threshold
EV_E0099_1750667280000000000,E0099,2025-06-23T13:58:00+05:30,ANOMALY,EXCESS_IDLE,LOW,5.0,Idle hours spike beyond threshold
EV_E0099_1747534680000000000,E0099,2025-05-18T07:48:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.1,Idle hours spike beyond threshold
EV_E0099_1747913340000000000,E0099,2025-05-22T16:59:00+05:30,ANOMALY,EXCESS_IDLE,LOW,4.2,Idle hours spike beyond threshold
EV_E0099_1750898220000000000,E0099,2025-06-26T06:07:00+05:30,ANOMALY,EXCESS_IDLE,LOW,6.6,Idle hours spike beyond threshold
EV_E0099_1749357540000000000,E0099,2025-06-08T10:09:00+05:30,ANOMALY,GPS_DRIFT,LOW,6.4,GPS drift beyond geofence
EV_E0133_1753244340000000000,E0133,2025-07-23T09:49:00+05:30,FUEL,REFUEL,,6.5,Auto-logged fuel transaction
EV_E0133_1748335320000000000,E0133,2025-05-27T14:12:00+05:30,FUEL,LOW_FUEL,,13.3,Low fuel threshold crossed
EV_E0133_1748746500000000000,E0133,2025-06-01T08:25:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0133_1751694420000000000,E0133,2025-07-05T11:17:00+05:30,MAINTENANCE,PREVENTIVE,,4483.2,Scheduled PM
EV_E0133_1753074780000000000,E0133,2025-07-21T10:43:00+05:30,ANOMALY,FUEL_SPIKE,HIGH,31.0,Fuel usage unusually high vs baseline
EV_E0133_1749045300000000000,E0133,2025-06-04T19:25:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.6,Idle hours spike beyond threshold
EV_E0133_1746692760000000000,E0133,2025-05-08T13:56:00+05:30,ANOMALY,EXCESS_IDLE,HIGH,2.8,Idle hours spike beyond threshold
EV_E0133_1753460580000000000,E0133,2025-07-25T21:53:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,16.6,Fuel usage unusually high vs baseline
EV_E0117_1749635520000000000,E0117,2025-06-11T15:22:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0117_1751256720000000000,E0117,2025-06-30T09:42:00+05:30,FUEL,LOW_FUEL,,10.0,Low fuel threshold crossed
EV_E0117_1747635840000000000,E0117,2025-05-19T11:54:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0117_1753352220000000000,E0117,2025-07-24T15:47:00+05:30,MAINTENANCE,OIL_CHANGE,,1609.62,Reactive fix
EV_E0117_1748590500000000000,E0117,2025-05-30T13:05:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.3,Idle hours spike beyond threshold
EV_E0117_1747223400000000000,E0117,2025-05-14T17:20:00+05:30,ANOMALY,FUEL_SPIKE,LOW,28.9,Fuel usage unusually high vs baseline
EV_E0117_1751968140000000000,E0117,2025-07-08T15:19:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,5.5,GPS drift beyond geofence
EV_E0117_1751596980000000000,E0117,2025-07-04T08:13:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,4.8,Idle hours spike beyond threshold
EV_E0117_1749734160000000000,E0117,2025-06-12T18:46:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.7,Idle hours spike beyond threshold
EV_E0117_1750647300000000000,E0117,2025-06-23T08:25:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,17.3,Fuel usage unusually high vs baseline
EV_E0037_1752909360000000000,E0037,2025-07-19T12:46:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0037_1751976540000000000,E0037,2025-07-08T17:39:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0037_1747965840000000000,E0037,2025-05-23T07:34:00+05:30,FUEL,REFUEL,,10.8,Auto-logged fuel transaction
EV_E0037_1747037580000000000,E0037,2025-05-12T13:43:00+05:30,MAINTENANCE,PREVENTIVE,,3679.94,Scheduled PM
EV_E0037_1746366780000000000,E0037,2025-05-04T19:23:00+05:30,ANOMALY,FUEL_SPIKE,LOW,34.4,Fuel usage unusually high vs baseline
EV_E0037_1746671940000000000,E0037,2025-05-08T08:09:00+05:30,ANOMALY,FUEL_SPIKE,LOW,24.3,Fuel usage unusually high vs baseline
EV_E0037_1750945860000000000,E0037,2025-06-26T19:21:00+05:30,ANOMALY,FUEL_SPIKE,LOW,23.0,Fuel usage unusually high vs baseline
EV_E0077_1747886400000000000,E0077,2025-05-22T09:30:00+05:30,FUEL,REFUEL,,25.1,Auto-logged fuel transaction
EV_E0077_1746442500000000000,E0077,2025-05-05T16:25:00+05:30,FUEL,LOW_FUEL,,20.6,Low fuel threshold crossed
EV_E0077_1750601940000000000,E0077,2025-06-22T19:49:00+05:30,FUEL,REFUEL,,5.0,Auto-logged fuel transaction
EV_E0077_1748863080000000000,E0077,2025-06-02T16:48:00+05:30,MAINTENANCE,PREVENTIVE,,4367.44,Scheduled PM
EV_E0077_1746779580000000000,E0077,2025-05-09T14:03:00+05:30,ANOMALY,EXCESS_IDLE,MEDIUM,4.4,Idle hours spike beyond threshold
EV_E0077_1749548880000000000,E0077,2025-06-10T15:18:00+05:30,ANOMALY,FUEL_SPIKE,LOW,25.3,Fuel usage unusually high vs baseline
EV_E0077_1751589720000000000,E0077,2025-07-04T06:12:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.2,Idle hours spike beyond threshold
EV_E0077_1753247340000000000,E0077,2025-07-23T10:39:00+05:30,ANOMALY,FUEL_SPIKE,LOW,16.0,Fuel usage unusually high vs baseline
EV_E0077_1753628160000000000,E0077,2025-07-27T20:26:00+05:30,ANOMALY,EXCESS_IDLE,LOW,2.6,Idle hours spike beyond threshold
EV_E0052_1748842080000000000,E0052,2025-06-02T10:58:00+05:30,FUEL,REFUEL,,10.9,Auto-logged fuel transaction
EV_E0052_1748347920000000000,E0052,2025-05-27T17:42:00+05:30,FUEL,LOW_FUEL,,15.0,Low fuel threshold crossed
EV_E0052_1750049340000000000,E0052,2025-06-16T10:19:00+05:30,FUEL,REFUEL,,7.5,Auto-logged fuel transaction
EV_E0052_1750138260000000000,E0052,2025-06-17T11:01:00+05:30,MAINTENANCE,OIL_CHANGE,,2681.45,Reactive fix
EV_E0052_1752218760000000000,E0052,2025-07-11T12:56:00+05:30,ANOMALY,FUEL_SPIKE,MEDIUM,16.6,Fuel usage unusually high vs baseline
EV_E0052_1752638760000000000,E0052,2025-07-16T09:36:00+05:30,ANOMALY,EXCESS_IDLE,HIGH,5.4,Idle hours spike beyond threshold
EV_E0052_1753434120000000000,E0052,2025-07-25T14:32:00+05:30,ANOMALY,GPS_DRIFT,HIGH,8.3,GPS drift beyond geofence
EV_E0052_1751886480000000000,E0052,2025-07-07T16:38:00+05:30,ANOMALY,GPS_DRIFT,MEDIUM,9.1,GPS drift beyond geofence
EV_E0052_1747811220000000000,E0052,2025-05-21T12:37:00+05:30,ANOMALY,FUEL_SPIKE,LOW,29.6,Fuel usage unusually high vs baseline
EV_E0052_1751954760000000000,E0052,2025-07-08T11:36:00+05:30,ANOMALY,GPS_DRIFT,LOW,7.9,GPS drift beyond geofence
EV_E0052_1752940920000000000,E0052,2025-07-19T21:32:00+05:30,ANOMALY,FUEL_SPIKE,LOW,16.4,Fuel usage unusually high vs baseline
EV_E0052_1751037300000000000,E0052,2025-06-27T20:45:00+05:30,ANOMALY,EXCESS_IDLE,LOW,3.7,Idle hours spike beyond threshold
EV_E0052_1752401580000000000,E0052,2025-07-13T15:43:00+05:30,ANOMALY,FUEL_SPIKE,LOW,23.4,Fuel usage unusually high vs baseline
